"feature","mean_before","mean_after","diff","pct_change","expected"
"f_10_demonstrative_pronoun",0.970976965875532,0.970980376606955,3.41073142273718e-06,0.000351268005586694,FALSE
"f_53_modal_necessity",0.499520495634115,0.499523523332346,3.02769823140592e-06,0.000606120921537446,FALSE
"f_48_amplifiers",0.804024059062649,0.804026385861325,2.32679867584462e-06,0.000289394160487841,FALSE
"f_22_that_adj_comp",0.567131900996337,0.567134050578181,2.14958184441283e-06,0.000379026790881706,FALSE
"f_20_existential_there",0.226248977284562,0.226250696950037,1.71966547540814e-06,0.000760076574067891,FALSE
"f_49_emphatics",0.141096901856957,0.1410978737397,9.71882742312191e-07,0.000688805161219965,FALSE
"f_50_discourse_particles",0.261857665016657,0.261858477966218,8.12949560169418e-07,0.000310454750338396,FALSE
"f_07_second_person_pronouns",0.0210031319923505,0.0210039449419107,8.12949560134724e-07,0.00387061110900415,TRUE
"f_35_because",0.111409817156258,0.111410518055814,7.00899555519663e-07,0.000629118306994989,FALSE
"f_66_neg_synthetic",0.207982085475254,0.207982627441628,5.41966373474034e-07,0.000260583199863393,FALSE
"f_36_though",0.164494310996396,0.164494740912765,4.29916368865912e-07,0.000261356375343176,FALSE
"f_34_sentence_relatives",0.392833975642356,0.392834246625542,2.70983186834162e-07,6.89816063875469e-05,FALSE
"f_43_type_token",0.625440428550218,0.625440364938043,-6.36121755270835e-08,-1.01707808806888e-05,FALSE
"f_09_pronoun_it",0,0,0,0,FALSE
"f_12_proverb_do",0,0,0,0,FALSE
"f_13_wh_question",0.0207457914883157,0.0207457914883157,0,0,FALSE
"f_23_wh_clause",0.0480706636402618,0.0480706636402618,0,0,FALSE
"f_28_present_participle_whiz",0,0,0,0,FALSE
"f_44_mean_word_length",4.91308542713568,4.91308542713568,0,0,FALSE
"f_59_contractions",0,0,0,0,FALSE
"f_60_that_deletion",0,0,0,0,FALSE
"f_61_stranded_preposition",0,0,0,0,FALSE
"f_62_split_infinitive",0,0,0,0,FALSE
